Timestamp,Data
2025-10-22 11:27:17.091,Sensor 2 (0x1D) - X: 0.051 Y: 0.731 Z: 0.600 | Orientation: Portrait Down
2025-10-22 11:27:17.627,Sensor 1 (0x1C) - X: 0.105 Y: -2.000 Z: -1.905 | Orientation: Portrait Down
2025-10-22 11:27:17.692,Sensor 2 (0x1D) - X: -0.538 Y: -0.664 Z: -2.000 | Orientation: Portrait Down
2025-10-22 11:27:18.228,Sensor 1 (0x1C) - X: -0.818 Y: -2.000 Z: -0.942 | Orientation: Portrait Down
2025-10-22 11:27:18.293,Sensor 2 (0x1D) - X: -2.000 Y: -2.000 Z: -2.000 | Orientation: Portrait Down
2025-10-22 11:27:18.829,Sensor 1 (0x1C) - X: -2.000 Y: -0.010 Z: -0.193 | Orientation: Portrait Down
2025-10-22 11:27:18.893,Sensor 2 (0x1D) - X: -2.000 Y: 0.582 Z: -0.361 | Orientation: Portrait Down
2025-10-22 11:27:19.429,Sensor 1 (0x1C) - X: -2.000 Y: 0.330 Z: 1.999 | Orientation: Portrait Down
2025-10-22 11:27:19.490,Sensor 2 (0x1D) - X: -2.000 Y: 1.750 Z: 1.884 | Orientation: Portrait Down
2025-10-22 11:27:20.026,Sensor 1 (0x1C) - X: -2.000 Y: -1.083 Z: -1.371 | Orientation: Portrait Down
2025-10-22 11:27:20.091,Sensor 2 (0x1D) - X: -2.000 Y: -2.000 Z: -2.000 | Orientation: Portrait Down
2025-10-22 11:27:20.627,Sensor 1 (0x1C) - X: -2.000 Y: 0.691 Z: 1.999 | Orientation: Portrait Down
2025-10-22 11:27:20.687,Sensor 2 (0x1D) - X: -2.000 Y: 1.571 Z: 1.611 | Orientation: Portrait Down
2025-10-22 11:27:21.224,Sensor 1 (0x1C) - X: -0.148 Y: -0.104 Z: 1.176 | Orientation: Flat
2025-10-22 11:27:21.265,Sensor 2 (0x1D) - X: 0.023 Y: 0.112 Z: 1.318 | Orientation: Flat
2025-10-22 11:27:21.802,Sensor 1 (0x1C) - X: -0.148 Y: -0.227 Z: 0.933 | Orientation: Flat
2025-10-22 11:27:21.845,Sensor 2 (0x1D) - X: -0.183 Y: -0.022 Z: 0.921 | Orientation: Flat
2025-10-22 11:27:22.382,Sensor 1 (0x1C) - X: 0.037 Y: 0.496 Z: 0.739 | Orientation: Portrait Down
2025-10-22 11:27:22.441,Sensor 2 (0x1D) - X: -0.079 Y: 0.180 Z: 0.463 | Orientation: Portrait Down
2025-10-22 11:27:22.978,Sensor 1 (0x1C) - X: 0.259 Y: 0.520 Z: 0.796 | Orientation: Portrait Down
2025-10-22 11:27:23.036,Sensor 2 (0x1D) - X: 0.029 Y: 0.666 Z: 0.608 | Orientation: Portrait Down
2025-10-22 11:27:23.573,Sensor 1 (0x1C) - X: 0.467 Y: 0.675 Z: 0.447 | Orientation: Portrait Down
2025-10-22 11:27:23.632,Sensor 2 (0x1D) - X: 0.537 Y: 0.790 Z: -0.054 | Orientation: Portrait Down
2025-10-22 11:27:24.169,Sensor 1 (0x1C) - X: 0.501 Y: 0.634 Z: 0.583 | Orientation: Portrait Down
2025-10-22 11:27:24.227,Sensor 2 (0x1D) - X: 0.176 Y: 0.652 Z: 0.711 | Orientation: Portrait Down
2025-10-22 11:27:24.764,Sensor 1 (0x1C) - X: 0.117 Y: -0.454 Z: -1.366 | Orientation: Portrait Down
2025-10-22 11:27:24.827,Sensor 2 (0x1D) - X: -0.375 Y: -0.312 Z: -1.756 | Orientation: Portrait Down
2025-10-22 11:27:25.364,Sensor 1 (0x1C) - X: -0.858 Y: 0.746 Z: -0.574 | Orientation: Portrait Down
2025-10-22 11:27:25.425,Sensor 2 (0x1D) - X: -1.752 Y: 0.331 Z: 0.374 | Orientation: Portrait Down
2025-10-22 11:27:25.962,Sensor 1 (0x1C) - X: 0.363 Y: 0.925 Z: 1.898 | Orientation: Portrait Down
2025-10-22 11:27:26.020,Sensor 2 (0x1D) - X: 0.104 Y: 0.397 Z: 1.999 | Orientation: Portrait Down
2025-10-22 11:27:26.557,Sensor 1 (0x1C) - X: -0.955 Y: -0.711 Z: -0.564 | Orientation: Portrait Down
2025-10-22 11:27:26.621,Sensor 2 (0x1D) - X: -1.728 Y: -0.978 Z: -1.600 | Orientation: Portrait Down
2025-10-22 11:27:27.158,Sensor 1 (0x1C) - X: -0.353 Y: -0.769 Z: -2.000 | Orientation: Portrait Down
2025-10-22 11:27:27.221,Sensor 2 (0x1D) - X: -1.174 Y: 0.358 Z: -0.321 | Orientation: Portrait Down
2025-10-22 11:27:27.758,Sensor 1 (0x1C) - X: -1.050 Y: 0.935 Z: -0.691 | Orientation: Portrait Down
2025-10-22 11:27:27.820,Sensor 2 (0x1D) - X: -1.956 Y: 1.217 Z: 0.347 | Orientation: Portrait Down
2025-10-22 11:27:28.356,Sensor 1 (0x1C) - X: -0.300 Y: 0.785 Z: -0.166 | Orientation: Portrait Down
2025-10-22 11:27:28.417,Sensor 2 (0x1D) - X: -1.081 Y: 0.645 Z: 0.277 | Orientation: Portrait Down
2025-10-22 11:27:28.954,Sensor 1 (0x1C) - X: -0.673 Y: 0.606 Z: 1.905 | Orientation: Portrait Down
2025-10-22 11:27:29.005,Sensor 2 (0x1D) - X: -1.116 Y: 0.239 Z: 1.999 | Orientation: Flat
2025-10-22 11:27:29.541,Sensor 1 (0x1C) - X: -0.278 Y: 0.383 Z: 1.790 | Orientation: Portrait Up
2025-10-22 11:27:29.591,Sensor 2 (0x1D) - X: -0.028 Y: -0.245 Z: 1.999 | Orientation: Flat
