Time,filt_S1_X,filt_S1_Y,filt_S1_Z,filt_S1_p,filt_S1_r,filt_S2_X,filt_S2_Y,filt_S2_Z,filt_S2_p,filt_S2_r
16.887,-0.139125434138668,-0.025310605592499,1.00118124754571,-7.92183401218078,-1.39549019932704,-0.433286746821326,0.0617842410954563,0.887566412561634,-25.7058971198072,3.98878905207881
16.903,-0.139036220677743,-0.0253449362715186,1.00134292220425,-7.91321231959743,-1.39661609447856,-0.433064129114489,0.0617634188736848,0.887546828976694,-25.6906783694994,3.98001681955717
16.919,-0.138847504772609,-0.0253802681996616,1.00153573608748,-7.90194115034464,-1.39702936512694,-0.432867775922542,0.061686323976424,0.887600957788497,-25.6769093287222,3.9689721782559
16.935,-0.138567518858576,-0.025419948387583,1.00175333347925,-7.8882764478261,-1.39647278317909,-0.432713937625936,0.0615559224177756,0.8877224471966,-25.6653760851469,3.95612461576377
16.951,-0.138210259359376,-0.0254674060242586,1.00198614191053,-7.87266476004707,-1.39488862880936,-0.432614556227506,0.0613776885735054,0.887902067290905,-25.6565994216543,3.94200083617266
16.967,-0.137794430459975,-0.0255255798483763,1.00222138174444,-7.85572534962336,-1.39242277490324,-0.432576343190106,0.0611593726053443,0.888128639832114,-25.6508093418736,3.92715664536281
16.983,-0.137342064500847,-0.0255961535717045,1.00244352754037,-7.83821809184315,-1.38939079321048,-0.432600464003117,0.0609107624033199,0.888390102591794,-25.647952559759,3.91216320044156
16.999,-0.136876977186237,-0.0256788694340444,1.00263519960483,-7.82099880557413,-1.38621713892024,-0.432682724057015,0.0606433599176411,0.888674520697297,-25.6477275178001,3.89760136851998
17.015,-0.136423193452729,-0.0257711779439753,1.00277834709899,-7.80496373413142,-1.38336215489565,-0.432814119476592,0.0603698773475336,0.888970812604532,-25.6496374346566,3.88405525353219
17.031,-0.136003432416527,-0.0258683444137689,1.0028556127913,-7.79098613777099,-1.38125049003306,-0.432981700522001,0.0601035209421934,0.889269094062285,-25.653053186166,3.87209904704872
17.047,-0.135637703858353,-0.0259639568149447,1.00285188508623,-7.77985030536416,-1.38021039248769,-0.433169796341522,0.0598571363325476,0.889560747270118,-25.6572824859224,3.86227726948787
17.063,-0.135342056450329,-0.0260506745824989,1.00275603554047,-7.77218936777726,-1.38042944430954,-0.43336162019144,0.0596423621850251,0.889838381356349,-25.6616428386048,3.85508227840944
17.079,-0.13512752878847,-0.0261210744403407,1.00256263890099,-7.76843220313317,-1.38193098326305,-0.433541097256684,0.0594689190768814,0.890095735947144,-25.6655308198941,3.85093145943393
17.095,-0.134999388720399,-0.0261685248101571,1.00227327012558,-7.76876370156497,-1.38457516748754,-0.43369458964562,0.0593440612394187,0.890327482688957,-25.6684759881987,3.85014146210368
17.111,-0.134956785396269,-0.0261880446355703,1.00189700572985,-7.7731035997223,-1.38808557001414,-0.433812201760587,0.0592721311006256,0.89052895225656,-25.6701715413183,3.85289436151538
17.127,-0.134992943580554,-0.0261770438283222,1.00145003024347,-7.78111032894593,-1.39209558562627,-0.433888533803387,0.0592541729383179,0.89069597688201,-25.6704840849447,3.85919555342393
17.143,-0.135095968995154,-0.026135782444709,1.00095451948107,-7.79221388046125,-1.39620313744553,-0.433922932839333,0.0592876686369883,0.890825066498098,-25.6694512928457,3.86883284077793
17.16,-0.135250204381834,-0.0260674173931296,1.0004370251493,-7.80567414516683,-1.40002211899226,-0.43391930762259,0.0593665401259001,0.8909139304612,-25.6672717448373,3.88135244312045
17.176,-0.135437931378259,-0.0259776281671972,0.999926482240574,-7.82065295742963,-1.40322436590726,-0.43388548464323,0.0594815361304835,0.890962090763945,-25.6642819965764,3.89606536960071
17.192,-0.135641145456449,-0.0258739364239209,0.999451933246558,-7.83628587770807,-1.40557105268847,-0.433832088570015,0.059621019222684,0.890971266270352,-25.6609145310005,3.91208880838378
