run_index,hand,glove_time_ms,time,palm_mcp_flex,palm_pip_flex,palm_prox_yaw,palm_prox_pitch,palm_prox_roll,palm_prox_ax,palm_prox_ay,palm_prox_az,thumb_mcp_flex,thumb_pip_flex,thumb_prox_yaw,thumb_prox_pitch,thumb_prox_roll,thumb_prox_ax,thumb_prox_ay,thumb_prox_az,index_mcp_flex,index_pip_flex,index_prox_yaw,index_prox_pitch,index_prox_roll,index_prox_ax,index_prox_ay,index_prox_az,middle_mcp_flex,middle_pip_flex,middle_prox_yaw,middle_prox_pitch,middle_prox_roll,middle_prox_ax,middle_prox_ay,middle_prox_az,ring_mcp_flex,ring_pip_flex,ring_prox_yaw,ring_prox_pitch,ring_prox_roll,ring_prox_ax,ring_prox_ay,ring_prox_az,pinky_mcp_flex,pinky_pip_flex,pinky_prox_yaw,pinky_prox_pitch,pinky_prox_roll,pinky_prox_ax,pinky_prox_ay,pinky_prox_az,wrist_ax,wrist_ay,wrist_az,wrist_heading,wrist_pitch,wrist_roll
1,LeftGlove,79646,3309,-1,-1,0,0,0,0,0,0,2121,1806,0.01,0,0,0.0,0.0,0.0,1054,2080,0.02,0,0,0.0,0.01,0.0,0,2042,-0.01,0.01,0,0.0,0.0,0.0,2151,2282,-0.03,0,0,-0.01,0.01,0.0,1842,2031,-0.01,0,0,0.0,0.0,0.0,-0.55,3.38,9.14,0,-3.31,-20.63
1,LeftGlove,79708,3371,-1,-1,0,0,0,0,0,0,2121,1810,0.01,0,0,0.0,0.01,0.0,1055,2083,0.02,0,0,0.0,0.0,0.0,0,2042,-0.01,0.01,0,0.0,0.0,0.0,2153,2281,-0.03,0,0,0.0,0.0,0.0,1839,2029,-0.01,0,0,0.0,0.0,0.0,-0.54,3.42,9.14,0,-3.31,-20.63
1,LeftGlove,79770,3439,-1,-1,0,0,0,0,0,0,2122,1811,0.01,0,0,0.0,0.0,0.0,1053,2079,0.02,0,0,0.0,0.0,0.0,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2150,2283,-0.03,0,0,0.0,0.0,-0.01,1847,2039,-0.01,0,0,0.0,0.0,0.0,-0.58,3.48,9.06,0,-3.31,-20.63
1,LeftGlove,79838,3507,-1,-1,0,0,0,0,0,0,2124,1805,0.01,0,0,0.0,0.0,-0.01,1053,2077,0.02,0,0,0.0,0.0,0.0,0,2043,-0.01,0.01,0,0.0,0.0,-0.01,2151,2283,-0.03,0,0,0.0,0.0,0.01,1843,2039,-0.01,0,0,0.01,0.0,0.0,-0.55,3.46,9.11,0,-3.31,-20.63
1,LeftGlove,79905,3569,-1,-1,0,0,0,0,0,0,2123,1807,0.01,0,0,-0.01,0.0,0.0,1055,2079,0.02,0,0,-0.01,0.0,0.0,0,2040,-0.01,0.01,0,0.0,0.0,0.0,2151,2282,-0.03,0,0,0.0,0.0,0.0,1846,2031,-0.01,0,0,0.0,0.01,0.0,-0.57,3.4,9.12,0,-3.31,-20.63
1,LeftGlove,79968,3630,-1,-1,0,0,0,0,0,0,2123,1807,0.01,0,0,0.0,0.0,-0.01,1053,2079,0.02,0,0,0.0,0.0,0.0,0,2043,-0.01,0.01,0,0.0,0.0,0.0,2153,2281,-0.03,0,0,0.0,0.0,0.0,1843,2036,-0.01,0,0,0.0,0.0,0.0,-0.57,3.45,9.1,0,-3.31,-20.63
1,LeftGlove,80029,3697,-1,-1,0,0,0,0,0,0,2121,1806,0.01,0,0,0.0,0.0,-0.01,1055,2077,0.02,0,0,0.01,-0.01,0.0,0,2041,-0.01,0.01,0,0.0,0.0,0.0,2152,2282,-0.03,0,0,0.0,0.0,0.0,1839,2031,-0.01,0,0,0.0,0.0,0.01,-0.58,3.48,9.08,0,-3.31,-20.63
1,LeftGlove,80096,3760,-1,-1,0,0,0,0,0,0,2123,1812,0.01,0,0,0.0,0.0,-0.01,1055,2083,0.02,0,0,0.0,0.0,0.0,0,2042,-0.01,0.01,0,0.0,0.0,0.0,2151,2280,-0.03,0,0,0.0,0.0,0.0,1839,2031,-0.01,0,0,0.0,0.01,0.0,-0.55,3.42,9.07,0,-3.31,-20.63
1,LeftGlove,80159,3828,-1,-1,0,0,0,0,0,0,2119,1808,0.01,0,0,0.0,0.0,0.0,1054,2083,0.02,0,0,0.0,0.01,0.0,0,2043,0.0,0.01,0,0.0,0.0,0.0,2152,2283,-0.03,0,0,0.0,0.0,0.0,1843,2037,-0.01,0,0,0.0,0.0,0.01,-0.53,3.42,9.15,0,-3.31,-20.63
1,LeftGlove,80227,3890,-1,-1,0,0,0,0,0,0,2120,1807,0.01,0,0,0.0,0.0,-0.01,1053,2078,0.02,0,0,0.0,0.0,-0.01,0,2043,-0.01,0.01,0,0.0,0.0,-0.01,2150,2280,-0.03,0,0,0.01,-0.01,-0.01,1834,2026,-0.01,0,0,0.0,-0.01,0.0,-0.57,3.47,9.1,0,-3.31,-20.63
